spdb3517	服务调查满意度100%。
spdb4578	该套金银纪念币正面图案均为第16届亚洲运动会会徽（彩色），并刊国名、年号。  （二）背面图案。  1/4盎司圆形金质纪念币背面图案为广州亚运城综合体育馆和焰火造型组合设计，并刊“第16届亚洲运动会”中文字样及面额。  1盎司圆形银质纪念币背面图案为排球、足球、体操运动员造型等装饰设计，并刊“第16届亚洲运动会”中文字样及面额
spdb4580	最大发行量30000枚
spdb4587	最大发行量80000枚。
spdb4588	直径40毫米，面额10元，成色99.9%，最大发行量220000枚。　
spdb4589	外圆半径58毫米，内圆半径39毫米，圆心角30度，面额200元，成色99.9%，最大发行量6600枚。
spdb4590	外圆半径85毫米，内圆半径60毫米，圆心角30度，面额10元，成色99.9%，最大发行量66000枚。
spdb4597	正面图案均为北京天坛祈年殿，并刊国名、年号及“京沪高速铁路开通纪念”中文字样
spdb4598	背面图案为母子熊猫图，并刊“1/4oz Au.999”字样、“京沪高速铁路开通纪念”英文字样及面额
spdb4609	正面图案为国徽，内缘上方刊“中华人民共和国”国名，内缘下方刊“2011”年号
spdb4610	背面主景图案为中国共产党党徽、党旗及牡丹、和平鸽、五角星，党徽上方刊“中国共产党成立90周年”字样，下方刊“1921-2011”字样。内缘左侧刊“5元”面额数字。
spdb4617	正面图案均为中华人民共和国国徽，并刊国名、年号
spdb4618	背面图案为武当山太和宫金殿与云纹造型组合设计，并刊“世界遗产—武当山古建筑群”中文字样及面额
spdb4627	正面图案均为中华人民共和国国徽，并刊国名、年号
spdb4628	背面图案为观星台建筑造型，配以中国古代建筑斗拱、方位图及观星台建筑装饰图案等组合设计，并刊“观星台”中文字样及面额
spdb4639	正面图案均为中华人民共和国国徽，并刊国名、年号
spdb4640	背面图案为藏羚羊局部造型，衬以藏羚羊群和雪山为背景装饰组合设计，并刊“WWF”英文字样和“世界自然基金会成立50周年”中文字样及面额
spdb4659	为进一步扩大人民币在跨境贸易和投资中的使用，规范银行和境外投资者办理外商直接投资人民币结算业务
spdb4667	为小李广梁山射雁（局部彩色），并刊“小李广花荣”中文字及面额。
spdb4668	为李逵探母（局部彩色），并刊“黑旋风李逵”中文字及面额。
spdb4678	正面图案均为中华人民共和国国徽，并刊国名、年号
spdb4679	背面图案为清华大学建校100周年校庆标志图形，并刊“清华大学建校100周年”中文字样、“TSINGHUA UNIVERSITY CENTENARY CELEBRATION”英文字样及面额
spdb4690	金银纪念币正面图案均为北京天坛祈年殿，并刊国名、年号及“新中国航空工业建立60周年纪念”中文字样。
spdb4697	为配合跨境贸易人民币结算试点，便利银行业金融机构和境内机构开展境外直接投资人民币结算业务
spdb4698	为规范全国银行间债券市场债券交易行为，防范系统性风险，维护全国银行间债券市场参与者合法权益，促进全国银行间债券市场健康发展
spdb4700	正面图案均为深圳第26届世界大学生夏季运动会会徽（局部彩色），并刊国名、年号
spdb4727	正面图案均为北京天坛祈年殿，并刊国名、年号及“中国熊猫金币发行三十周年纪念”中文字样
spdb4728	背面图案为熊猫造型，配以长城、竹子及发行年份等组合设计，并刊“5oz Au .999”字样及面额
spdb4738	为提高银行票据凭证的防伪性能，保证票据的流通和安全使用
spdb4749	为中华人民共和国国徽及海水江牙、祥云纹样组合设计，并刊国名、年号。
spdb4750	为侠义豪爽、勇谋兼容的“关羽”京剧脸谱造型（局部彩色），并刊“关羽”中文字样及面额。  1/4盎司彩色圆形金质纪念币背面图案为是非分明、嫉恶如仇的“孙悟空”京剧脸谱造型（局部彩色），并刊“孙悟空”中文字样及面额。  5盎司彩色圆形银质纪念币背面图案为浩然正气、刚正不阿的“钟馗”脸谱造型（局部彩色），并刊“钟馗”中文字样及面额。  1盎司彩色圆形银质纪念币背面图案为纯朴耿直、爱憎分明、敢作敢为的“张飞”京剧脸谱造型（局部彩色），并刊“张飞”中文字样及面额。  1盎司彩色圆形银质纪念币背面图案为武艺精巧、勤劳善良、风趣幽默的“陶洪”京剧脸谱造型（局部彩色），并刊“陶洪”中文字样及面额。
spdb4757	背面图案为航母辽宁舰造型，配以舰载机造型、航母甲板、海军臂章等图案组合设计，并刊“中国海军首艘航母辽宁舰”、“2012.9.25”字样及面额。  1/4盎司圆形金质纪念币背面图案为航母辽宁舰、舰载机造型组合设计，并刊“中国海军首艘航母辽宁舰”、“2012.9.25”字样及面额。  1公斤圆形银质纪念币背面图案为航母辽宁舰造型，配以海军胸标、橄榄枝、和平鸽等图案组合设计，并刊“中国海军首艘航母辽宁舰”、“2012.9.25”字样及面额。  1盎司圆形银质纪念币背面图案为航母辽宁舰造型，并刊“中国海军首艘航母辽宁舰”、“2012.9.25”字样及面额。
spdb4758	该套
spdb4778	按债券托管账户分户设置，一户一账，仅用于办理债券交易券款对付的资金结算；  （二）债券结算资金专户中的资金归市场参与者所有和支配；  （三）债券登记托管结算机构不得将债券结算资金专户中的资金挪作他用或擅自动用，法律法规另有规定的除外；  （四）债券登记托管结算机构不得对债券结算资金专户垫资；  （五）债券结算资金专户实行日终“零余额”管理，债券登记托管结算机构应当统一对日终债券结算资金专户内的剩余资金作自动划回处理，不得滞留资金；  （六）债券登记托管结算机构应当建立债券结算资金专户查询机制，为市场参与者提供账户查询服务，市场参与者有权通过电子和电话等渠道实时查询债券结算资金专户的资金情况。
spdb4779	并于每旬后的三个工作日内将上一旬债券结算资金专户情况以书面形式报送中国人民银行营业管理部，出现异常情况应当及时报告。
spdb4780	债券登记托管结算机构应当在每季度结束后的五个工作日内，向中国人民银行报送上季度券款对付结算情况的书面报告
spdb4788	正面图案均为中华人民共和国国徽、并刊国名、年号
spdb4789	背面图案为佛光寺建筑造型，并刊“五台山·佛光寺”字样及面额
spdb4797	年金银纪念币正面图案均为中华人民共和国国徽衬以连年有余吉祥纹饰，并刊国名、年号。
spdb4798	最大发行量120000枚
spdb4799	1盎司圆形银质纪念币为精制币，含纯银1盎司，直径40毫米，面额10元，成色99.9%，最大发行量200000枚。
spdb4800	最大发行量120000枚
spdb4810	正面图案均为中华人民共和国国徽，并刊国名、年号
spdb4820	由深圳国宝造币有限公司铸造，中国金币总公司总经销。
spdb4827	该套金银纪念币正面图案均为中华人民共和国国徽，并刊国名、年号。  （二）背面图案。  1/3盎司圆形金质纪念币背面图案为眼睛造型，衬以地球、卫星、北斗七星及二进制码等装饰组合设计，并刊“北斗卫星导航系统开通运行”中文字样及面额。  1盎司圆形银质纪念币背面图案为指北针造型，衬以卫星、北斗七星及二进制码等装饰组合设计，并刊“北斗卫星导航系统开通运行”中文字样及面额
spdb4850	正面图案均为中华人民共和国国徽，并刊国名、年号
spdb4857	（一）是市场利率定价自律机制成员单位；（二）已制定本机构同业存单管理办法；（三）中国人民银行要求的其他条件。
spdb4858	同业存单的投资和交易主体为全国银行间同业拆借市场成员、基金管理公司及基金类产品。
spdb4870	由深圳国宝造币有限公司、上海造币有限公司铸造，中国金币总公司总经销。
spdb4877	《中国人民银行与德意志联邦银行备忘录》相关内容
spdb4880	该套
spdb4897	银质纪念币正面图案为象征钱币、地球的点线装饰图案与2014北京国际钱币博览会会标组合设计，并刊国名、年号。  （二）背面图案。  该银质纪念币背面图案为中国清代乾隆通宝钱币与西班牙双柱钱币图案对应设计，衬以方孔圆钱造型，并刊“北京国际钱币博览会”中英文字样及面额。
spdb4898	银质纪念币为精制币，圆形，含纯银31.104克（1盎司），直径40毫米，面额10元，成色99.9%，最大发行量30000枚。
spdb4907	主景图案为草书的“和”字，衬景图案为书法的飞白，内缘左上方刊“和”字的五种书法体。
spdb4917	正面图案均为中华人民共和国国徽，并刊国名、年号
spdb4918	背面图案为商代后母戊方鼎，衬以该器物典型纹样等装饰组合设计，并刊“商·后母戊方鼎”字样及面额
spdb4930	正面刊“中国人民银行”、“1元”、汉语拼音字母“YIYUAN”及年号“2014”；背面图案为一个手持寓意“吉庆有余”挂件的小女孩骑在木马上，其右方刊“甲午”字样
spdb4939	正面图案均为北京天坛祈年殿，并刊国名、年号；背面图案均为熊猫食竹图，并刊面额
spdb4940	正面图案均为北京天坛祈年殿，并刊国名、年号；背面图案均为熊猫食竹图，并刊面额
spdb4950	为中华人民共和国国徽，并刊国名、年号。  （二）背面图案。  该枚银质纪念币背面图案为“福”字造型，配以蝙蝠、迎春花等装饰图案，以及宅门、燕子等造型组合设计，并刊面额。
spdb4957	为规范银行卡收单业务管理，保障各参与方合法权益，防范支付风险，促进银行卡业务健康有序发展
spdb4958	交易主体自主定价和风险管理能力不断增强。为顺应市场发展的要求，加大市场决定汇率的力度，建立以市场供求为基础、有管理的浮动汇率制度
spdb4969	正面图案均为北京天坛祈年殿，并刊国名、年号及“中国建设银行成立60周年纪念”中文字样
spdb4970	背面图案为熊猫嬉戏图，并刊“1oz Au .999”字样、“中国建设银行成立60周年纪念”英文字样及面额
spdb4978	正面图案均为中华人民共和国国徽，并刊国名、年号
spdb4979	背面图案为藏戏表演艺术造型，衬以传统吉祥纹饰组合设计，并刊“西藏自治区成立50周年”汉、藏文字样及面额
spdb4987	是指从事境内原油期货交易并承担交易结果，在中华人民共和国境外（含港澳台地区）依法成立的法人、其他经济组织，或者依法拥有中华人民共和国境外（含港澳台地区）公民身份的自然人。“境外经纪机构”是指在中华人民共和国境外（含港澳台地区）依法成立、具有所在国（地区）期货监管机构认可的可以接受交易者资金和交易指令并以自己名义为交易者进行期货交易资质的金融机构。
spdb4990	（一）收入范围：  1.从其同名人民币保证金专用账户汇入的人民币资金；  2.从其境内客户人民币期货结算账户汇入的人民币资金；  3.从境外交易者和境外经纪机构人民币期货结算账户汇入的人民币资金；  4.其同名外汇保证金专用账户结汇后汇入的人民币资金；  5.账户利息收入；  6.中国人民银行规定的其他收入。
spdb4999	正面图案均为中华人民共和国国徽，并刊国名、年号
spdb5000	背面图案为吹响抗战号角的八路军战士形象与延安宝塔山、延河水、数字“70”与时间“1945-2015”共同组成标志性符号的组合设计，并刊“中国人民抗日战争暨世界反法西斯战争胜利70周年”字样及面额
spdb5007	正面图案均为中华人民共和国国徽，并刊国名、年号
spdb5008	背面图案为曹雪芹像，并刊“曹雪芹诞辰300周年”字样及面额
spdb5019	《中国人民银行与赞比亚中央银行合作备忘录》相关内容
spdb5030	按照中国人民银行有关规定，加强市场的监测、统计和分析，定期向中国人民银行提交柜台债券业务统计分析报告，对柜台债券业务进行日常监测，发现异常情况应当及时处理，并向中国人民银行报告。
spdb5039	正面图案均为中华人民共和国国徽，并刊国名、年号
spdb5040	背面图案为“三潭印月”景观造型，配以苏堤、雷峰塔等景观组合设计，并刊“三潭印月”字样及面额
spdb5057	7.776克（1/4盎司）圆形金质纪念币为精制币（3枚），含纯金7.776克（1/4盎司），直径22毫米，面额100元，成色99.9%，最大发行量3×30000枚。  7.776克（1/4盎司）心形金质纪念币为精制币，含纯金7.776克（1/4盎司），外接正方形边长22毫米，面额100元，成色99.9%，最大发行量30000枚。  31.104克（1盎司）圆形银质纪念币为精制币（3枚），含纯银31.104克（1盎司），直径40毫米，面额10元，成色99.9%，最大发行量3×60000枚。  31.104克（1盎司）心形银质纪念币为精制币，含纯银31.104克（1盎司），外接正方形边长40毫米，面额10元，成色99.9%，最大发行量60000枚。
spdb5068	正面图案均为北京天坛祈年殿，并刊国名、年号及“沈阳造币有限公司成立120周年纪念”中文字样
spdb5069	背面图案为熊猫攀树图，并刊“8g Au .999”字样、“沈阳造币有限公司成立120周年纪念”英文字样及面额
spdb5088	为鼓励举报支付结算违法违规行为，维护支付结算市场秩序
spdb5089	（一）有明确的举报对象、具体的举报事实及证据；  （二）举报内容事先未被监管部门和协会掌握；  （三）举报内容经查证属实且经协会认定对规范市场有积极作用。
spdb5090	（一）能够证明被举报人违法违规行为的相关证据，包括书面证据、电子证据及其他形式证据等；  （二）举报情况说明，包括支付结算违法违规行为发生的时间、地点、主要事实等；  （三）举报人对举报事项、内容和证据的真实性承诺；  （四）举报人的姓名、有效身份证明与联系方式等。
spdb5098	取消相关业务种类、注销《支付业务许可证》等监管措施
spdb5100	正面图案均为中华人民共和国国徽，并刊国名、年号
spdb5107	为推动银行间债券市场对外开放，便利符合条件的境外机构投资者依法合规投资银行间债券市场
spdb5108	中华人民共和国境外依法注册成立的商业银行、保险公司、证券公司、基金管理公司及其他资产管理机构等各类金融机构，上述金融机构依法合规面向客户发行的投资产品，以及养老基金、慈善基金、捐赠基金等中国人民银行认可的其他中长期机构投资者。
spdb5109	依照所在国家或地区相关法律成立；  （二）具有健全的治理结构和完善的内控制度，经营行为规范，近三年未因债券投资业务的违法或违规行为受到监管机构的重大处罚；  （三）资金来源合法合规；  （四）具备相应的风险识别和承担能力，知悉并自行承担债券投资风险；  （五）中国人民银行规定的其他条件。
spdb5117	（一）产品设立符合有关法律法规和行业监管规定，并已依法在有关管理部门或其授权的行业自律组织获得批准或完成备案。  （二）产品已委托具有托管资格的金融机构（以下简称托管人）进行独立托管，托管人对委托人资金实行分账管理、单独核算。  （三）产品的管理人获金融监管部门许可具有资产管理业务资格。对于经行业自律组织登记的私募基金管理人，其净资产不低于1000万元，资产管理实缴规模处于行业前列。  （四）产品的管理人和托管人具有健全的公司治理结构、完善的内部控制、风险管理机制以及相关专业人员。  （五）产品的管理人和托管人业务经营合法合规，最近3年未因债券业务发生重大违法违规行为。  （六）中国人民银行要求的其他条件。  四、合格机构投资者进入银行间债券市场应按规
spdb5127	经办人员应要求其提供所在村村民委员会开具的身份证明，经核实后，方可为其开立人民币储蓄账户或在原账户办理第一笔存款业务，并将该证明附存款底单后留存。
spdb5128	为解决其既无居民身份证又不能随身携带户口簿的问题，储蓄机构应凭本人学生证连同就读学校出具的证明为其开立人民币储蓄账户，办理小额存款。储蓄机构应登记发放学生证的学校名称、学生证号码，并将学校出具的证明附存款底单后留存。该账户在办理实名登记之前，其存款余额不得超过1万元人民币。
spdb5130	通过人民银行代理、通过中国银行间外汇市场会员代理以及直接成为中国银行间外汇市场境外会员。
spdb5137	和定期整存整取存款外，通知存款、协定存款，定活两便、存本取息、零存整取和整存零取等其他存款种类的计、结息规则，由开办业务的金融机构法人（农村信用社以县联社为单位），以不超过人民银行同期限档次存款利率上限为原则，自行制定并提前告知客户。
spdb5139	（三）积数计息法按实际天数每日累计账户余额，以累计积数乘以日利率计算利息。
spdb5147	到工商登记管理机关办理变更登记，并按要求进行公告。
spdb5148	（一）维持现行部分外汇业务，不扩大外汇业务服务对象的，按下列方式处理：1、独、合资财务公司
spdb5149	分别管理，其业务人员、资金账户均应分开，不得混合操作。
spdb5158	（一）市场报价信息;  （二）市场成交和行情信息;  （三）市场统计信息：1.单只债券不同期限品种远期交易买入（或卖出）余额及其分别占市场远期交易买入（或卖出）总余额和该只债券市场流通量的比例；  2.单个期限品种远期交易买入（或卖出）余额及其占市场远期交易买入（或卖出）总余额的比例。
spdb5159	（一）单只债券单日远期交易待交割量及其占该只债券市场流通量的比例，该比例超过5％的，向市场投资者公告该只债券名称和债券远期交易到期交割日期；  （二）市场投资者债券远期交易量排名；  （三）市场投资者违约情况和中国人民银行授权披露的市场投资者违规情况。
spdb5160	单家机构单只债券远期交易买入/卖出余额及其分别占该只债券流通量和该只债券市场远期交易买入/卖出总余额的比例；  （二）单家机构单个期限品种远期交易买入/卖出余额及其占该期限品种市场远期交易买入/卖出总余额的比例；  （三）单家机构远期交易卖出余额及其占该机构可用自有债券总余额的比例；  （四）单家机构远期交易净买入余额及其占该机构实收资本(或净资本、基金资产净值、人民币营运资金)的比例；  （五）单只债券持有量前5名机构各自债券持有量及其占该只债券总发行量的比例；  （六）市场异常报价和交易信息。
spdb5179	国家开发银行、中国进出口银行、国有独资商业银行、股份制商业银行、城市商业银行和在华的外资银行均应实行贷款质量五级分类管理。中国农业发展银行应根据贷款质量五级分类原理，制定符合本行实际情况的贷款质量分类办法，报人民银行批准后执行。城乡信用合作社可按照《贷款风险分类指导原则》在部分地区试行。。
spdb5180	《贷款风险分类指导原则》是各行实行贷款质量五级分类的基本标准。各行可根据《贷款风险分类指导原则》，结合本行不良贷款的种类和特征。
spdb5187	影响我国支付体系的全面建设和发展。
spdb5188	影响我国支付体系的全面建设和发展
spdb5189	提高农村支付结算服务水平，满足农村多层次的支付结算需求，将会加快农村地区资金流转，提高资金使用效益，促进农村经济金融和谐发展；而扩大支付结算服务的覆盖面和影响力，又能够充分发挥支付体系的效用和功能，促进支付体系均衡、全面发展。现就做好农村地区支付结算工作提出如下意见。
spdb5190	为解决各省（自治区、直辖市）内农村信用社之间资金不平衡问题，增加支农资金供应，加大信贷支农投入
spdb5199	为贯彻落实人民银行会计联行安全管理会议精神
spdb5208	用于支付在广东省内的消费性支出，该人民币支票不得转让。
spdb5210	为进一步完善社会主义市场经济体制，提高汇率形成的市场化程度，充分发挥市场在资源配置中的基础作用
spdb5218	用于购物、餐饮、住宿等旅游消费支付
spdb5220	用于购物、餐饮、住宿等旅游消费支付，但不得用于旅游消费外的经营性交易、证券投资和房地产等资本和金融项目交易，以及博彩等内地法律法规禁止交易的支付；可在香港自动取款机（ATM）上提取港币现钞，提钞限额为每日不超过等值5000元人民币
spdb5230	为加强银行间债券市场行业自律行为，明确债券远期交易双方的权利和义务
spdb5237	（一）申请报告，应写明本行业务经营情况、管理人员和经办人员配备情况、内部管理状况等内容
spdb5238	政策性银行、国有独资商业银行、股份制商业银行开办银行承兑汇票业务，应经中国人民银行总行批准，其分支机构开办银行承兑汇票业务，由其总行批准，并就开办业务品种及其属性向中国人民银行当地管辖行报备；城市商业银行、外资银行、城市信用合作社、农村信用合作社县（市）联社开办银行承兑汇票业务，应经当地中国人民银行分支机构审查并签署意见，报中国人民银行分行、营业管理部、省会（首府）城市中心支行审批。未经中国人民银行批准的，不得开办银行承兑汇票业务。
spdb5240	银行汇票专用章的刻制和票据凭证的订购。政策性银行、国有独资商业银行使用的汇票专用章，由其总行组织刻制；股份制商业银行使用的汇票专用章，由其总行统一向中国人民银行总行申请刻制；城市商业银行、外资银行、城市信用合作社、农村信用合作社县（市）联社使用的汇票专用章，由管辖地中国人民银行分行、营业管理部、省会（首府）城市中心支行统一向人民银行总行申请刻制。
spdb5249	数据集中对于我国银行实现集约化管理，提高银行的市场适应能力，降低银行经营风险具有重要意义
spdb5257	为进一步加强对商业银行境外机构的监管，促进商业银行境外机构审慎经营、健康发展
spdb5258	《中华人民共和国中国人民银行法》、《中华人民共和国商业银行法》和《境外金融机构管理办法》等法律法规，并参照巴塞尔银行监管委员会发布的有关跨境监管的基本原则及各国通行做法
spdb5260	为提高流通人民币整洁度，维护人民币信誉
spdb5269	（一）基本存款账户；  （二）临时存款账户（因注册验资和增资验资开立的除外）；  （三）预算单位专用存款账户；  （四）合格境外机构投资者在境内从事证券投资开立的人民币特殊账户和人民币结算资金账户
spdb5270	“开户许可证”字样；  （二）开户许可证编号；  （三）开户核准号；  （四）中国人民银行当地分支行账户管理专用章；  （五）核准日期；  （六）存款人名称；  （七）存款人的法定代表人或单位负责人姓名；  （八）开户银行名称；  （九）账户性质；  （十）账号。  临时存款账户开户许可证除记载上述事项外，还应记载临时存款账户的有效期限。
spdb5277	（
spdb5278	（一）对银监会县级派出机构审查通过的、拟认购专项票据的信用社分县（市）的增资扩股计划进行审核；  （二）信用社增资扩股的真实性和合规性经银监会县级派出机构审查合格后，由人民银行县（市）支行进行审核；  （三）会同银监会县（市）级派出机构，对信用社的专项票据发行、兑付申请以县（市）为单位进行审查；  （四）适时监测、按季考核辖内信用社改革试点、增资扩股、提高资本充足率和降低不良贷款比例的实施进展情况，并按季向上级行报送辖内信用社改革试点实施进展情况专题报告和信用社改革试点专项中央银行票据与专项借款考核季报（附1）；  （五）改革试点期间，全面监测与分析辖内信用社资产负债、信贷收支、经营财务变化情况和风险状况。
spdb5279	按照已核定额度对其发行专项票据的申请。
spdb5280	（一）专项借款的申请。信用社省级联社按本指引第三十二、三十三条测算，与2002年12月末相比，全辖使用专项借款的信用社平均资本净额增加50%时，应向省级协调小组成员单位提出按核定额度的30%发放第二批专项借款的书面申请，并提交下列书面资料：  1、专项借款申请书，主要内容应包括完善法人治理结构、增资扩股、提高资本充足率和降低不良贷款比例的实施进展情况；  2、依据本指引第十五条起草的实施增资扩股的专题报告；  3、信用社改革试点专项借款考核表（格式见银发〔2003〕181号文件）；  4、使用专项借款的信用社以县（市）为单位的2002年12月末和报告期期末的资产负债表、财务损益表和业务状况表；  5、省级协调小组要求提交的其它书面文件。
spdb5287	为了规范商业银行中间业务统计信息的收集和报送工作
spdb5297	（
spdb5298	（一）未经财政部授权的机构，要求国库办理中央预算收入、中央与地方共享收入退库的；  （二）下级地方财政部门或其他未经上级财政部门授权的机构，要求国库办理上级地方预算收入或共享收入退库的；  （三）退库款项退给非退库申请单位或申请个人的；  （四）口头或电话通知，要求国库办理退库的；  （五）要求国库办理退库，但不提供必要的相关文件、退库申请书的；  （六）收入退还书要素填写不符合规定的；  （七）其他违反规定要求国库办理退库的。
spdb5299	凭证要素不全的；  （二）擅自涂改的；  （三）大小写金额不符的；  （四）小写金额前无人民币符号“￥”的；  （五）大写金额前无“人民币”字样的；  （六）前后联次填写内容不一致的；  （七）拨款金额超过库存余额的；  （八）未加盖印鉴或所盖印鉴与预留印鉴不符的；  （九）代理银行申请划款的金额与其附件的金额不一致的；  （十）财政直接支付申请划款金额超出《财政直接支付汇总清算额度通知单》的累计额度的；  （十一）财政授权支付申请划款金额超出《财政授权支付汇总清算额度通知单》的累计额度的。
spdb5300	“中国人民银行××行国库业务转讫章”，三角形，含日期，用于已处理的转账凭证、回单、收付款通知单。一个国库工作机构可以使用统一名称、不同编号的业务转讫章。  （四）同城票据交换专用章：用于同城票据交换提出的票据、提出计数单、提出票据交换汇总清单等。  （五）国库会计人员名章：用于办理和记载的各种单证、凭证、账簿、报表等。对已经处理或打印输出的会计凭证、账表必须按规定加盖印章或签名；由国库会计业务系统在凭证、账表上打印的会计人员姓名视同个人签章；国库会计业务系统自动处理的账务，会计凭证和账表打印输出后可不再加盖印章或签名。
spdb5307	为贯彻落实《中华人民共和国行政许可法》和《中国人民银行行政许可实施办法》，提高人民银行系统实施“商业银行、信用社代理支库业务审批”和“商业银行、信用社代理乡镇国库业务审批”两个行政许可项目审批工作的质量
spdb5309	《中华人民共和国中国人民银行法》、《中华人民共和国商业银行法》等
spdb5318	为了规范银行间债券市场债券发行现场行为，维护债券发行各方的权益
spdb5319	国家开发银行、中国进出口银行和中国人民银行许可的其他机构
spdb5327	前一年经科技成果鉴定（定型）的项目，具有中国人民银行文件规定的鉴定证书，同时各类成果必须具备如下相应条件： （一）新的科学技术成果必须是国内首创或本行业先进，并经过实践证明具有明显经济效益或社会效益。 （二）理论研究成果和软科学研究成果必须在全国性的或国外学术刊物刊登一年以上并经实践验证取得显著效果。 （三）各类标准应在正式公布试行一年以后，经实践证明使用情况及效果良好。
spdb5328	特等奖、一等奖、二等奖、三等奖
spdb5329	特等奖奖金68000-75000元，一等奖奖金35000-42000元，二等奖奖金20000-28000元，三等奖奖金8000-12000元(今后随国家科技进步奖奖金的变化而调整)。
spdb5338	为规范国库信息处理系统（以下简称TIPS）的税收缴库业务处理，确保国库会计核算工作正常有序进行
spdb5339	《国库会计管理规定》、《国库会计核算业务操作规程》及《中国人民银行国库资金清算业务处理手续》等有关制度规定
spdb5340	是指财政、税务、国库、银行（含信用社，下同）之间，通过TIPS对税收收入缴款书、收入退还书、更正通知书和“免、抵”税调库通知书等信息（以下简称税收缴库信息）进行交换和处理的各项业务。
spdb5347	对主要内容与新的法律、行政法规、金融规章或者党和国家新的方针政策不相适应的以及被新的法律、行政法规或者金融规章代替的3个文件
spdb5349	沈阳故宫大政殿，并刊国名、年号
spdb5350	为骏马头部装饰造型，并刊面额
spdb5359	由上海造币厂、沈阳造币厂、深圳国宝金币制造厂、瑞士PAMP S.A.共同铸造，中国金币总公司总经销。
spdb5370	是指根据《贷款风险分类指导原则》，对贷款进行风险分类后，按每笔贷款损失的程度计提的用于弥补专项损失的准备。
spdb5397	普通纪念币正面主景图案为国徽及飘带，内缘上方为“中华人民共和国”字样，下方为“2001”年号；背面主景图案采用人民英雄纪念碑上的武昌起义浮雕中的一部分，主景下方有“1911”和“2001”字样组成的隐形图纹，隐形图纹的两侧分别有“辛亥”和“革命”微缩文字，内缘左侧为“辛亥革命”字样，上方为“5元”字样，下方为“90周年”字样
spdb5400	正面主景图案由国徽和五朵牡丹花组成，内缘上方为“中华人民共和国”字样，下方为2001年号
spdb5407	人民银行各分支行应督促有关金融机构不断改进金融服务，加大对农村、农业和农民的信贷支持力度，逐步解决农民贷款难的问题。特别要注重引导各地农村信用社充分发挥农村金融的主力军和联系农民的金融纽带作用，全面推广农户小额信用贷款，简化贷款手续，拓宽服务范围，支持农户扩大生产经营，解决生活中的困难。。
spdb5408	为贯彻落实最近召开的中央经济工作会议精神，更好地发挥信用社农村金融主力军和联系农民金融纽带的作用
spdb5409	大力调整农业结构，千方百计增加农民收入，是新阶段农村经济工作的中心任务”。
spdb5427	背面分别为愚公移山、精卫填海图案及面额
spdb5428	为八仙过海图案及面额
spdb5429	为适应财税体制改革和国库会计核算业务电算化、网络化发展的需要，配合小额支付系统上线运行
spdb5438	（一）本机构基本情况说明；  （二）人民币资金来源及规模说明；  （三）投资计划书；  （四）债券投资相关负责人员基本情况表；  （五）登记注册文件或监管机构批准成立的证明；  （六）法定代表人或指定签字人的有效身份证件；  （七）所在国家或地区监管机构核发的金融业务许可证；  （八）中国证券监督管理委员会书面批复及其颁发的证券投资业务许可证；  （九）国家外汇管理局关于投资额度的书面批复；  （十）最近3年是否受到监管机构处罚的说明；  （十一）最近3年经审计的财务报表；  （十二）中国人民银行要求的其他材料。
spdb5440	不得超过中国人民银行公布的交易中间价上下0.16%
spdb5447	一、全国银行间债券市场到期收益率的日计数基准由“实际天数/365”调整为“实际天数/实际天数”，即应计利息天数按当期的实际天数计算（算头不算尾），闰年2月29日计算利息，付息区间天数按实际天数计算（算头不算尾）。  二、对《中国人民银行关于全国银行间债券市场债券到期收益率计算标准有关事项的通知》（银发〔2004〕116号）第三条“债券到期收益率计算”中的有关计算公式进行相应调整，详见附件。调整后的全国银行间债券市场到期收益率计算标准适用于全国银行间债券市场的发行、托管、交易、结算、兑付等业务
spdb5449	西藏民族纹饰、五星、国名、年号及“西藏和平解放五十周年”汉文字样和“中国西藏和平解放五十周年纪念”藏文字样
spdb5450	为西藏民族传统“八吉祥”图、莲花装饰图案及面额
spdb5459	按销户日挂牌公告的活期存款利率结计利息；上年结转的，按销户日挂牌公告的三个月整存整取存款利率结计利息。
spdb5460	按销户日挂牌公告的活期存款利率结计利息；上年结转的，按销户日挂牌公告的三个月整存整取存款利率结计利息
spdb5468	变更银行结算账户内容申请书”（附式3），并加盖单位公章和加其法定代表人或负责人签章，或加其个人签章。对于变更基本存款账户、临时存款账户（注册验资除外）、财政预算单位专用存款账户存款人名称、法定代表人或负责人、账号的，应将一份变更银行结算账户内容申请书报送中国人民银行当地分支行换发开户核准通知书。
spdb5470	金融机构适用的存款准备金率与其资本充足率、资产质量状况等指标挂钩
spdb5477	为建立和完善社会主义市场经济体制，充分发挥市场在资源配置中的基础性作用，满足国内经济主体规避汇率风险的需要
spdb5487	该纪念银币为普制币，含纯银1盎司，成色99.9%；形状为圆形，直径32毫米，面额10元，发行量40000枚。
