spdb3520	知识
spdb9398	《关于加强寿险诈骗风险防范的通知》，要求保险公司严格执行收付费管理规定，采取有效措施识别客户身份，通过银行等资金支付系统转账收付费应当对投保人、被保险人或受益人的账户信息进行核对
spdb9400	今年6月28日至30日
spdb9410	上市公司董事会
spdb9420	上海交通大学高级金融学院
spdb9437	人行上海总部、上海银监局、上海证监局、上海保监局和市金融办
spdb9447	上海金融业联合会、上海市银行同业公会、上海市证券同业公会、上海市保险同业公会、上海市期货同业公会、上海小额贷款公司协会、上海市担保行业协会、上海股权投资协会，浦东新区金融局和黄浦区、静安区、徐汇区、长宁区、普陀区、虹口区、宝山区、嘉定区金融办
spdb9448	上海金融报社、国际金融报社
spdb9449	100多家
spdb9450	1000多种
spdb9460	1、《上海金融系统“做群众的贴心人”工作案例申报表》（样式附后），报纸质材料1份，同时报电子版；  2、2000字以内的案例正文，报纸质材料1份，同时报电子版；  3、案例照片1张。照片画面要能反映案例主题，自然生动，有感染力，像素不低于1M，为jpg格式，照片文档名为“基层党组织名称+照片内容简要说明”
spdb9467	总行
spdb9479	评选“优秀调研成果”
spdb9480	1、申报材料清单：包括调研成果正文和《上海金融系统党建和思想政治工作研究会2012年度优秀调研成果申报表》（样式见附件）。有课题调研方案和调研相关资料的，可一并
spdb9487	8月29-30日
spdb9488	上海东亚展览馆
spdb9490	上海仲盟融资担保股份有限公司）  小微企业智能解决方案（通联支付网络服务有限公司
spdb9498	AVI、VOB、MOV或MPEG等常用视频格式
spdb9499	有关媒体进行展播
spdb9500	上海市职业考试院官方网站
spdb9507	2014年2月28日前
spdb9529	3个
spdb9558	每年 4 月前 5 个工作日内
spdb9568	专家组委员
spdb9569	可由工作组负责人兼任，根据工作需要可以设若干名副主任
spdb9578	北京时间 9:30-23:30 （周六、周日及法定节假日不开市）。
spdb9659	分为自律规范类培训和专业能力建设培训两大模块
spdb9677	真实、合规、合理
spdb9680	原件，留存复印件5年
spdb9687	第八条	秘书处
spdb9690	10年
spdb9739	即期、远期、 掉期、货币掉期、期权等
spdb9799	完善省级外汇业务展业工作自律机制（以下简称省级机制），督促银行落实展业自律要求，促进外汇市场健康有序发展，防范跨境资金异常流动风险，根据《外汇市场自律机制工作指引》
spdb9807	根据《关于促进黄金市场发展的若干意见》（银发[2010]211 号）、 《上海黄金交易所业务监督管理规则》
spdb9819	金交所
spdb9820	上市的证 券交易所
spdb9837	2014年1月1
spdb9879	每旬首3
spdb9880	中国人民银行
spdb9888	Au50g、Au100g、Au99.99、Au99.95、Au99.5、 Pt99.95、iAu100g、iAu99.99、iAu99.5
spdb9889	Ag99.9 和 Ag99.99
spdb9890	Au（T+D）、Au（T+N1）、Au（T+N2）、mAu（T+D）、Ag（T+D）
spdb9910	《关于促进黄金市场发展的若干意见》（银发[2010]211 号）、 《上海黄金交易所现货交易规则》、《上海黄金交易所询价业务交易 规则》等有关规定
spdb9920	3
spdb9959	交易所指定仓库
spdb9960	《上海国际黄金交易中心有价资产充抵保证金业务管理办法》规定国际会员或国际客户申请进行有价资产充抵保证金业务前，外币类有价资产应汇至国际中心指定的结算专用账户
spdb9999	交易所内
spdb10059	国务院
spdb10078	《国务院关于清理整顿各类交易场所切实 防范金融风险的决定》 
spdb10088	上海
spdb10129	权利义务
spdb10147	中国人民银行
spdb10158	2007年1月1
spdb10197	货币政策
spdb10207	国务院同意设立、中国人民银行指定的全国性票据报价交易、托管登记、清算结算、信息查询和票据风险监测平台
spdb10239	2018年7月底
spdb10248	各类业务DVP和FOP结算时序参数
spdb10249	2018年5月12日
spdb10250	并涉及机构管理、清算结算等相关模块的功能新增和优化。
spdb10267	2018年5月26日
spdb10268	工商银行杭州银苑大厦培训中心
spdb10270	1500元/人，住宿费400元/间/晚（双人入住）
spdb10277	2018年6月28日至29日
spdb10289	中国人民银行
spdb10290	电子商业汇票系统危机处置领导小组
spdb10297	上海票据交易所
spdb10308	上海票据交易所
spdb10328	2500元/人，住宿费400元/间/晚（双人入住）
spdb10349	2017年9月20日
spdb10359	上海票据交易所股份有限公司联合中国金融出版社、金融时报社
spdb10360	上海票据交易所股份有限公司
spdb10369	2017年9月25日至26日
spdb10370	工商银行杭州银苑大厦培训中心
spdb10379	按回购金额整笔计算
spdb10380	待返售票据包形式挑选拟交易票据
spdb10398	7月18日
spdb10399	上海市黄浦区半淞园路377号A区）三楼会议室
spdb10407	中国票据交易系统下载结算交割单
spdb10408	以ECDS记录为准。
spdb10418	上海票据交易所
spdb10420	上海票据交易所
spdb10427	预定排期
spdb10429	预定排期
spdb10439	财务公司和其他机构
spdb10448	2017年4月10日9:00
spdb10450	推广上线工作协调小组
spdb10457	2017年4月10日
spdb10467	2017年5月22日
spdb10479	中国票据交易系统
spdb10487	上海票据交易所会员部
spdb10488	上海市黄浦区半淞园路377号A区
spdb10497	工商银行杭州银苑大厦培训中心
spdb10500	2500元/人，住宿费400元/间/晚（双人入住）
spdb10507	2017年1月20日前
spdb10510	上海票据交易所
spdb10518	金融机构
spdb10519	正式接入通知
spdb10520	票交所发〔2017〕32号
spdb10527	上海票据交易所
spdb10528	2018年10月8日
spdb10538	2018年4月26日至27日
spdb10597	《中华人民共和国票据法》
spdb10629	、融资租赁合同以租赁物使用地为合同履行地
spdb10630	信息网络交付标的的，以买受人住所地为合同履行地
spdb10637	农村土地承包经营合同纠纷、房屋租赁合同纠纷、建设工程施工合同纠纷、政策性房屋买卖合同纠纷，按照不动产纠纷确定管辖。
spdb10639	30万元
spdb10647	真实公允确定净值原则，对产品进行保本保收益。 　　（二）采取滚动发行等方式，使得资产管理产品的本金、收益、风险在不同投资者之间发生转移，实现产品保本保收益。 　　（三）资产管理产品不能如期兑付或者兑付困难时，发行或者管理该产品的金融机构自行筹集资金偿付或者委托其他机构代为
spdb10649	７年１２月１日起施行，同时废止１９８８年１２月１９日
spdb10668	以纸质票据票面信息为准
spdb10689	中国人民银行
spdb10690	根据《中华人民共和国中国人民银行法》、《中华人民共和国票据法》、《中华人民共和国电子签名法》等有关法律，中国人民银行制定了《电子商业汇票业务管理办法》
spdb10698	电子商业汇票的出票日是指出票人记载在电子商业汇票上的出票日期
spdb10717	票款
spdb10740	用途分为结算性和投融资性两类
spdb10749	双人复核制度
spdb10750	2017年11月30日前
spdb10759	商业银行应具备与所开展同业业务规模和复杂程度相适应的同业业务治理体系，由法人总部
spdb10767	2016年6月30日前
spdb10799	个体风险和系统性风险
spdb10807	2017年4月
spdb10829	被背书人栏中注明贴现机构名称
spdb10830	被背书人栏中注明贴现机构名称，并在票据背书栏加盖电子登记权属章
spdb10837	  票据标识信息、保证日期、保证人名称、被保证人名称。
spdb10839	可
spdb10847	三个工作日内根据不同情况在票交所系统做出应答
spdb10848	审验认为票据实物为假票
spdb10880	机构的经办人员在票交所系统查询并选择需要办理质押的票据，选定质权机构
spdb10888	询价
spdb10907	1946年
spdb10928	次一工作日
spdb10940	DVP方式结算
spdb10947	共43家
spdb10967	以较低的融资成本
spdb10999	1996年
spdb11008	1882年
